author,published_at,updated_at,like_count,text
@girlfailing,2025-01-09T12:02:01Z,2025-01-09T12:02:01Z,0,aahhh i wanted to see what bill looks like but he isnt shown at all here
@JoseApbg,2025-01-09T10:14:12Z,2025-01-09T10:14:12Z,0,Pôr favor Nosferatu y Universal premiere En el paquete universal plus y tv😊😅😮🎉😂❤
@Tom-lm2tc,2025-01-09T09:02:04Z,2025-01-09T09:02:04Z,1,Thank fuck we didnt get another anya taylor joy film
@allydean-ikon6086,2025-01-09T08:46:38Z,2025-01-09T08:46:38Z,1,"Thisss is her vibes !! She’s such a scream queen material , she should do more horror , scary stuff"
@HJBlount,2025-01-09T07:14:29Z,2025-01-09T07:14:29Z,1,"Saw this film twice &amp; a WoW for me, so used to the traditional versions which are great, tho this is more realistic! 10 out of 10 for me, thank you!"
@Jukias11,2025-01-09T03:59:57Z,2025-01-09T03:59:57Z,1,She&#39;s such a low range and operated actress.🙄
@meatsnackofzombies,2025-01-09T03:41:19Z,2025-01-09T03:41:19Z,0,Definitely one of the better vampire movies I’ve seen
@clydecash5659,2025-01-09T02:57:35Z,2025-01-09T02:57:35Z,3,Just saw this movie.  I want my money back.
@Quicksilver_Cookie,2025-01-09T02:56:54Z,2025-01-09T02:56:54Z,0,"Eggers always delivers with something characterful, and damn stylish."
@eltorpedo67,2025-01-09T01:49:02Z,2025-01-09T01:49:02Z,4,"Man, you can instantly spot the comments written by ADHD zoomers."
@justsignmeup911,2025-01-09T01:26:10Z,2025-01-09T01:26:10Z,0,Trash Dracula Look Like Boat
@mrremovedbycleo,2025-01-09T01:10:22Z,2025-01-09T01:10:22Z,4,"Such a great film, she deserves an Oscar! Saw it today and already want to watch it again!"
@stephenroldan5107,2025-01-09T00:34:07Z,2025-01-09T00:34:07Z,3,"Horrible ,saw it yesterday... Just as boring as his other movies...stay with 1922."
@mihajlozivkovic7576,2025-01-08T23:26:21Z,2025-01-08T23:26:21Z,0,Is there any connection with the game nosferatu the wrath of malachi
@Diddydoodatt,2025-01-08T22:58:05Z,2025-01-08T22:58:05Z,0,Did they get freaky
@lorenzocotrozzi7414,2025-01-08T21:15:56Z,2025-01-08T21:15:56Z,3,This trailer conveys the wrong idea that the movie is actually good... btw I cringed so hard at the &quot;You could never please me as he could&quot; scene
@gregorymorhardt3262,2025-01-08T20:42:46Z,2025-01-08T20:42:46Z,0,I love the font
@Cut136,2025-01-08T18:30:45Z,2025-01-08T18:30:45Z,1,"<a href=""https://www.youtube.com/watch?v=nulvWqYUM8k&amp;t=73"">1:13</a> The Hunt Begins …"
@Stock_cork69,2025-01-08T17:06:22Z,2025-01-08T17:06:22Z,0,can&#39;t believe they got the green goblin to be in this film
@gagavavhqbqbqb6215,2025-01-08T14:30:51Z,2025-01-08T14:30:51Z,0,worth seeing was filmed in Romania
@BayerischeMotorenWerkeDE,2025-01-08T13:37:13Z,2025-01-08T13:37:13Z,0,Only in Theaters ? is not on NetFlix or something?
@rafaeljilavian4593,2025-01-08T13:17:41Z,2025-01-08T13:17:41Z,0,the fact that Germany&#39;s laws are very strict even count orlock must have the right paperwork to go there
@jazmorrison9030,2025-01-08T09:18:19Z,2025-01-08T09:18:19Z,0,Watched yeasterday omg scary
@Bouvier_Abroad,2025-01-08T07:21:47Z,2025-01-08T07:21:47Z,0,Following in her father’s footsteps 😊 me like !
@rasvanstanciu4368,2025-01-08T05:53:51Z,2025-01-08T06:02:50Z,0,"People was so affraid of Nosferatu,that till early 2000,putt spikes in the heart of the dead who was seen in spirit walking in vilage houses at night,knock on people doors and windows,possese poeple or make your life a living nightmare!!!Much of the haunting are still happening till today,but most of the villagers prefere not to talk...that is why the priests come every year for 3 times,to everybody&#39;s houses,to get out the embody spirits that hounts there.Most of those spirits are called....&quot;Strigoy&quot;or &quot;Moroy&quot;,and are far more scary, than any caracters in movies that you see.Why...because they can haunt you,every day and night...most of the people literally die of fear."
@randomfood8188,2025-01-08T05:32:37Z,2025-01-08T05:32:37Z,2,bruh the hype is crazy this movie sucked big time
@BirdieMac,2025-01-08T02:28:46Z,2025-01-08T02:28:46Z,1,This feels like a real movie again ...with a proper trailer. Well done.
@dhanaorkut,2025-01-08T01:39:09Z,2025-01-08T01:39:09Z,5,"We lost all the best Horror movie directors long time ago..  Nowadays, Trailers look promising but when we spend $20-$30 for movie, there is nothing inside 😬"
@kat1959,2025-01-08T00:31:59Z,2025-01-08T00:31:59Z,1,I haven’t seen this movie yet. How is Lily Rose as an actor. I’ve seen good reviews on her.
@mr.jackhatter9385,2025-01-07T23:49:20Z,2025-01-07T23:49:20Z,0,Great movie
@andypike1234,2025-01-07T23:22:50Z,2025-01-07T23:22:50Z,0,Ralph Ineson looked like Orlok in Northman.
@Royal-TDatBoiPrii,2025-01-07T23:19:50Z,2025-01-07T23:20:45Z,0,And so this came out on Christmas……why?
@mavenfrankeus7287,2025-01-07T23:01:35Z,2025-01-07T23:01:35Z,0,Great movie.
@Ventibreeze123,2025-01-07T22:57:48Z,2025-01-07T22:57:48Z,0,"I went to see this tonight, great acting throughout but I wanted to see nosferatu looking like the original max shrek and was a bit disappointed when he looked so normal."
@miraclejab1927,2025-01-07T22:52:34Z,2025-01-07T22:52:34Z,0,U ruined it with lily rose deep
@dkkl1234,2025-01-07T22:33:03Z,2025-01-07T22:33:03Z,2,the movie is so bad
@maximus0277,2025-01-07T22:24:14Z,2025-01-08T15:37:48Z,3,"Samstag ohne große Erwartungen im Kino gesehen und Montag direkt erneut angeschaut.<br>Düster und ohne einen Spannungsverlust.<br>Wahnsinns Einsatz von Effekten und Kulissen, die einen nur noch mehr zum schaudern bringen. <br>Die Szenerie wird durch die hervorragende Filmmusik nur noch mehr zur Geltung gebracht.<br>Ein wahrhaftiges Meisterwerk, welches ich jedem nur wärmstens Empfehlen kann.<br>Nutzt die Chance und wagt einen Kinobesuch, um Lord Orlok in seiner ganzen Schrecklichkeit erleben zu dürfen."
@SunshineClementine,2025-01-07T21:30:22Z,2025-01-07T21:30:22Z,0,"Going to see this tonight! Happy New Year! <a href=""UCkszU2WH9gy1mb0dV-11UJg/popcorn-yellow-striped-smile""></a> x"
@dorukaras,2025-01-07T20:56:09Z,2025-01-07T20:56:09Z,3,I&#39;m tired of seeing Bill Skarsgård in every new movie. I guess there are no other actors left in the American movie industry.
@disappointed6859,2025-01-07T20:56:06Z,2025-01-07T20:56:06Z,0,Sad disappointment - actually preferred Bhram S Drakula more.   Although there were a couple times in this movie that it made me tear up laughing.
@gonzalor6,2025-01-07T20:55:40Z,2025-01-07T20:55:40Z,0,Loved the ending
@Tubemac86,2025-01-07T19:26:44Z,2025-01-07T19:26:44Z,0,Quite surprised that nobody has said how this nosferatu looks like the boxer usyk
@Diana734,2025-01-07T15:58:11Z,2025-01-07T15:59:28Z,1,Lily Rose Depp saved this movie. Nosferatu was a monster but a cliche one with the prosthetics. Bill Skarsgard playing Nosferatu made it bearable with the voice he used.
@glenharrison1410,2025-01-07T15:45:37Z,2025-01-07T15:45:37Z,0,It&#39;s beautiful
@RetroFan,2025-01-07T14:46:26Z,2025-01-07T14:46:26Z,0,Reading about this on IMDB and I found a new use for the word radical.
@reobae,2025-01-07T11:37:05Z,2025-01-07T11:37:05Z,1,Saw this in theaters last Sunday and enjoy it so much. Such a masterpiece of a film in my opinion. Especially paying homage to its original predecessor.
@user2002constantine,2025-01-07T10:38:38Z,2025-01-07T10:38:38Z,1,"For those who want to see this movies Do what you will . But this movie is the definition of disappointment , this movie is a rip off dracula (1992) and it’s way worse than that . Nothing in this movie is original and nothing is extraordinary and unique. Honestly i can’t believe robert eggers just made a rip off movie but in his own way and just change the title and the ending. Because the only thing that this movie differs from dracula 1992 is the title and the ending (which in this movie is very bad )"
