author,published_at,updated_at,like_count,text
@1-_-KING723,2025-01-14T21:04:31Z,2025-01-14T21:04:31Z,0,"Bru keep pressing <a href=""https://www.youtube.com/watch?v=0HY6QFlBzUY&amp;t=121"">2:01</a> it’s funny"
@jsvmusic,2025-01-14T18:10:44Z,2025-01-14T18:10:44Z,6,I highly nominate Naomi Scott for an Oscar award!
@el_chico1313,2025-01-14T00:28:10Z,2025-01-14T00:28:10Z,0,call the ghostbusters?
@TheOpies,2025-01-10T06:38:53Z,2025-01-10T06:38:53Z,2,I feel this was better then the first.
@JP-dv9ts,2025-01-09T02:51:11Z,2025-01-09T02:51:11Z,6,This was way above my expectations. Holy moly it was intense
@spraypaintedcarpet,2025-01-08T18:10:31Z,2025-01-08T18:12:11Z,0,I am gonna say this. Far from a masterpiece and far from the best horror movies i have ever seen. BUT as someone who hast social anxiety the whole theme and some scenes scare the f out of me. Btw this movie is a hidden voss commerical xd
@RajKhan-u7g7h,2025-01-07T07:35:55Z,2025-01-07T07:35:55Z,0,Burbak movie faltuk movie achho movie nhi dekha hai
@Rankutubuki88,2025-01-06T01:50:26Z,2025-01-06T01:50:26Z,4,Tbh…. Her performance deserves to be recognized in The Oscars.
@throbbingwiener6218,2025-01-05T15:42:21Z,2025-01-05T15:42:21Z,0,The scariest part of this movie was when she is supposed to give a speech but the teleprompter stopped working.
@EricMichaude,2025-01-05T01:30:16Z,2025-01-05T01:30:16Z,1,Same
@figuenew,2025-01-04T03:59:30Z,2025-01-04T03:59:30Z,1,"It utters the blasphemy &quot;Jesus f Christ&quot; so, it&#39;s a big NO NO."
@hjs6312,2025-01-03T07:42:38Z,2025-01-03T07:42:38Z,0,Why paramount can make this kind of movie?<br>The worst movie i ever watch.<br>Totally suckkkkk....<br>Don&#39;t watch it.
@jahsire95,2025-01-02T20:47:56Z,2025-01-02T20:47:56Z,14,"This trailer didn’t do this movie any justice. I just watched this movie yesterday thinking it was going to be some bs.. It was the best horror movie I have seen in a while. Totally not what I expected and better than the first one. Great acting, great writing… Absolutely great ending. Very well done. Salute!"
@1brutal,2025-01-02T20:31:44Z,2025-01-02T20:31:44Z,1,ruy babe way rash be dary hena
@treygachette8564,2025-01-02T19:50:22Z,2025-01-02T19:50:22Z,3,One of the best psychological horror movies of all time.
@ludwikd,2025-01-02T17:41:05Z,2025-01-02T17:41:05Z,2,Dumb movie...
@aprliadinimiaw,2025-01-02T17:38:37Z,2025-01-02T17:38:37Z,0,so many jumpscare😮
@LeonDreKennedy,2025-01-02T03:49:01Z,2025-01-02T03:49:01Z,0,"As much as I thought this was an unnecessary sequel before watching the film, it seemed very interesting and entertaining, I&#39;ll give it an A- / B+."
@The1stRock,2025-01-02T01:10:21Z,2025-01-02T01:10:21Z,0,It&#39;s easier to SMILE than to fROWn 🙃
@MaxValente-d6d,2025-01-01T20:46:17Z,2025-01-01T20:46:17Z,0,"<a href=""https://www.youtube.com/watch?v=0HY6QFlBzUY&amp;t=34"">0:34</a> <a href=""https://www.youtube.com/watch?v=0HY6QFlBzUY&amp;t=92"">1:32</a>"
@MR_CHAIRMAN007,2025-01-01T18:36:30Z,2025-01-01T18:36:30Z,1,Im addicted to this movie
@dadsonahuntingtrip9400,2025-01-01T11:29:00Z,2025-01-01T11:29:00Z,0,Horrible movie
@dancingking-u8z,2025-01-01T09:48:27Z,2025-01-01T09:48:27Z,0,Awesome
@thatspeedfreak8713,2025-01-01T03:42:58Z,2025-01-01T03:42:58Z,0,Naomi scott killed it... Shes underrated
@cutegirlchloe237,2024-12-31T15:21:57Z,2024-12-31T15:21:57Z,0,This was as scary as the movie 😢😢😢
@AntuDas-x8i,2024-12-31T14:25:51Z,2024-12-31T14:25:51Z,0,1is best
@ZitiPatrol,2024-12-31T08:30:00Z,2024-12-31T08:30:00Z,0,Wasn&#39;t bad they just went too hard on the pop Hollyweird stuff.
@TheGoldenKatz,2024-12-30T12:52:54Z,2024-12-30T12:52:54Z,0,Nothing could beat Hereditary
@BubbyBrew,2024-12-30T08:18:11Z,2024-12-30T08:18:11Z,0,The whole movie was about this lesbian sky dripping from the nose 🤢
@KassieP-sf6nz,2024-12-30T00:30:34Z,2024-12-30T00:30:34Z,1,"This movie was a huge disappointment; my husband and I had to turn it off. It simply didn’t live up to the quality of the first film, &quot;Smile.&quot;👎"
@TheGoldenKatz,2024-12-29T20:23:53Z,2024-12-29T20:23:53Z,0,Thats Jasmine from new Aladdin right?
@جوليمحمد-س9م,2024-12-29T12:31:33Z,2024-12-29T12:31:33Z,0,advice me to watch it
@Arctic-void-z7f,2024-12-29T01:21:41Z,2024-12-29T01:21:41Z,0,They stole that smile form true or dare 😂
@ÖmerDİMEN,2024-12-28T22:40:02Z,2024-12-28T22:40:02Z,0,"Hayatımda bu kadar ters köşe olduğum mükemmel bir film görmedim Korku filmi dediğin böyle olur. Filmin başına aldanmayın beni dinleyin, izleyinn ve pişman olmayacağınıza görün."
@ASAFYY,2024-12-27T17:03:09Z,2024-12-27T17:03:09Z,2,Smile 1 WAS MUCH BETTER
@ajrmtx7954,2024-12-27T15:17:33Z,2024-12-27T15:17:33Z,0,Why is the ending always so sad
@OsamehKarami,2024-12-27T10:50:27Z,2024-12-27T10:50:27Z,0,🙈🙉🙊      👍
@austinjerrett9326,2024-12-27T08:34:35Z,2024-12-27T08:34:35Z,2,How are the smile movies ? Havent watched the 1st one thought it looked stupid af at first but whats your guys rating 1 out of 10 thinking about giving it a chance
@djavatar68,2024-12-27T08:09:49Z,2024-12-27T08:09:49Z,0,Jumpscare...the movie.
@AdamCastillo-n7i,2024-12-27T03:39:16Z,2024-12-27T03:39:16Z,0,Cool movies
@potpolima,2024-12-26T23:38:18Z,2024-12-26T23:38:18Z,0,The ending sux… so stupid
@paschalagwunobi579,2024-12-26T22:35:41Z,2024-12-26T22:35:41Z,0,Best horror movie
@paschalagwunobi579,2024-12-26T22:33:05Z,2024-12-26T22:33:05Z,0,My favourite horror movie ❤
@coolpart1,2024-12-26T21:04:31Z,2024-12-26T21:04:31Z,0,Bro i just watch the movie please someone beat that smile movie 😭
@Ma.ChristineM,2024-12-26T13:40:39Z,2024-12-26T13:40:39Z,1,"worst ending, this movie is so annoying. stupid"
@LIFEONTHEEDGE420,2024-12-25T22:56:11Z,2024-12-25T22:56:11Z,1,Great movie really was. Bad ending tho lets be real. Too goofy.
