author,published_at,updated_at,like_count,text
@dallasdaniels7796,2024-01-26T02:29:15Z,2024-01-26T02:29:15Z,0,LMAO!!! WTF?! This gives She-Hulk vibes it&#39;s so fkn pandering 😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣🤣😂🤣😂🤣😂🤣🤣
@SophieJones-c6r,2024-01-26T02:28:50Z,2024-01-26T02:28:50Z,2,Not a fan a remakes but this looks really good. Kept the same concepts and updated them to current standards. I like it.
@micanope,2024-01-26T02:28:38Z,2024-01-26T02:28:38Z,0,As if a developer in Florida has ever lost.
@johnnyhotrod,2024-01-26T02:28:33Z,2024-01-26T02:28:33Z,0,Why couldn’t they name it something else???<br>Had to ruin the original like every other dope
@Itsjust_alexp,2024-01-26T02:28:22Z,2024-01-26T02:28:22Z,1,Old fashioned man movie yay! We finally got one baby!
@superdude8745,2024-01-26T02:27:55Z,2024-01-26T02:27:55Z,0,Here’s to hoping we get the throat ripping technique😭😭😭
@shapuku1674,2024-01-26T02:27:43Z,2024-01-26T02:27:43Z,0,What happened to 45 second trailers that told us almost nothing to get us interested and NOT tell us everything lmao
@blackleg3964,2024-01-26T02:27:38Z,2024-01-26T02:27:38Z,0,"Ah, so that&#39;s why Conor was missing for so long in the UFC.<br>He looks great in the movie, hope he gets the opportunity to work in more films as villian😁."
@faizrusli3234,2024-01-26T02:27:32Z,2024-01-26T02:27:32Z,0,Toast House!
@poorabmeena7588,2024-01-26T02:27:21Z,2024-01-26T02:27:21Z,0,Drunk connor best😂
@sanchezs7614,2024-01-26T02:26:25Z,2024-01-26T02:26:25Z,1,Peter Griffin: ROADHOUSE
@Trentstone121,2024-01-26T02:26:19Z,2024-01-26T02:26:19Z,0,So they ruined a classic? Who&#39;s the house band? That&#39;s the most important part of the whole movie!
@mohsenhd5640,2024-01-26T02:26:08Z,2024-01-26T02:26:08Z,0,first ufc actor he is the best mf
@svishe,2024-01-26T02:26:06Z,2024-01-26T02:26:06Z,0,"When you, fkn idiots, will stop showing the whole plot in 2 mins? (facepalm)"
@Matthew-pd8wf,2024-01-26T02:26:04Z,2024-01-26T02:26:04Z,0,PUT IT IN THEATERS WTF
@brucewayne1431,2024-01-26T02:25:59Z,2024-01-26T02:25:59Z,0,file this under sucky movie that didn&#39;t need to be remade.
@cbeaulac,2024-01-26T02:25:50Z,2024-01-26T02:25:50Z,0,"Love the original, this is a great move for a remake.."
@lazyhead4382,2024-01-26T02:25:31Z,2024-01-26T02:25:31Z,0,Release this in theaters you fucking cowards.
@kerryarm9461,2024-01-26T02:25:24Z,2024-01-26T02:25:24Z,1,They should have named it something else. Leave the original alone.
@drewbus8680,2024-01-26T02:25:15Z,2024-01-26T02:25:15Z,0,If there is a petition to sign to stop MMA fighters from trying to act i’ll happily do so!
@Pilgrim22,2024-01-26T02:25:14Z,2024-01-26T02:25:14Z,1,Conner McGregor as himself....
@Juan-ee2gt,2024-01-26T02:25:06Z,2024-01-26T02:25:35Z,0,Connor&#39;s acting looked bad. I don&#39;t like the whole former MMA or UFC fighter. Is it to make it look more realistic to see him fight Connor? Cuz then what&#39;s Connor&#39;s characters back story. Because I don&#39;t think a regular person can compete with a former professional fighter.
@JarBar99,2024-01-26T02:25:04Z,2024-01-26T02:25:04Z,0,I’m still waiting to see what kind of role Bob Menery has in this… 🤣
@edgart49,2024-01-26T02:24:54Z,2024-01-26T02:24:54Z,1,Peter griffin .... road house!!
@bosniaczek,2024-01-26T02:24:23Z,2024-01-26T02:24:23Z,0,"I love original &#39;Road house&#39;, my fav movie of all time. I will definitely rate this 1/10 stars..."
