author,published_at,updated_at,like_count,text
@spacelinx,2024-04-07T05:15:00Z,2024-04-07T05:15:00Z,2,"This was such a great movie, from the visuals and movie trope satires to the story and dark humor. During an age of the same thing always coming out (like Marvel movies), this was a refreshingly original story."
@MARILYNMONROE30,2024-04-07T00:41:22Z,2024-04-07T00:41:22Z,1,Movie was weird so weird but good movie
@dre9484,2024-04-06T21:41:31Z,2024-04-06T21:41:31Z,1,This movie is pure shit and an embarrassment to the great 1980’s!!!!!
@Eddiemunson36,2024-04-06T10:46:15Z,2024-04-06T10:46:15Z,56,This is the type of movie that you wish you can wipe your memory so you can watch it again like it was a first time 🖤
@dramaticvirghoe,2024-04-05T12:08:15Z,2024-04-05T12:08:15Z,94,this movie deserved so much better why did y&#39;all let it flop 😭😭 in like 10 years they would call this a cult classic
@EmmaBentzin,2024-04-04T17:03:08Z,2024-04-04T17:03:08Z,0,Cole Sprouse is so funking cute and dreamy honey ❤❤❤❤❤❤❤❤❤❤❤❤
@Fascinatingstreet,2024-04-04T04:48:34Z,2024-04-04T04:48:34Z,1,"The soundtrack, the goth outfits, the Bauhaus poster, the vibrant colors, I love this!!! 🖤😭😍"
@peaceoglory,2024-04-03T12:35:50Z,2024-04-03T12:35:50Z,1,"Damn, I really thought the people in the thumbnail were Helena Bonam Carter and Johnny Depp 😂 Just assumed it was a Tim Burton movie."
@1sombrfan,2024-04-03T01:14:40Z,2024-04-03T01:14:40Z,0,This movie was really really good …😊
@Siege924,2024-04-02T22:03:02Z,2024-04-02T22:03:02Z,1,Why is this giving me Tim Burton vibes?
@amusicalinstrument9745,2024-04-02T22:02:38Z,2024-04-02T22:02:38Z,0,frakenstein modern comedy version with female protag.
@katethevampire,2024-04-02T20:22:21Z,2024-04-02T20:22:21Z,1,Can&#39;t believe this movie bombed that&#39;s criminal
@CarolinaSlimReaper,2024-04-01T05:01:04Z,2024-04-01T05:01:04Z,0,Soooo a warm bodies remake essentially…got it
@jasont.333,2024-04-01T00:04:19Z,2024-04-01T00:04:19Z,1,There&#39;s a scene in this movie that was filmed at my old high school wtf 😭
@rickysingh7136,2024-03-31T16:32:37Z,2024-03-31T16:32:37Z,2,I don&#39;t know why this movie flopped but i watched it and it was absolutely amazing. ❤
@Bandana_Boi,2024-03-30T09:47:16Z,2024-03-30T09:47:16Z,0,Didn&#39;t this chick play a high schooler like 4 or 5 years ago in a Vince Vaughn movie? <br><br>I love when Hollywood makes a movie about a teenager and casts a 30 year old.
@hannahcampbell8196,2024-03-29T20:49:24Z,2024-03-29T20:50:08Z,2,"I&#39;m upset that I&#39;m only seeing this for the first time today (3/29/24) because that means there wasn&#39;t a lot of hype for it, as it came out like 6wks ago. Gonna make my fiance watch it with me 😂"
@ahmadsandhu9721,2024-03-29T19:26:16Z,2024-03-29T19:26:16Z,2,This is the most dumb movie i have ever sen 😂😂😂
@jamesfischer6809,2024-03-28T11:03:41Z,2024-03-28T11:03:41Z,2,"music ok,mindless crap as a movie"
@jhessicacomjh,2024-03-27T14:54:15Z,2024-03-27T14:54:15Z,0,I LOVE THE AESTHETICS<br>I&#39;M HERE FOR THE AESTHETICS<br>IT&#39;S GORGEOUS
@QuestionableLifeChoices,2024-03-27T08:20:11Z,2024-03-27T08:20:11Z,2,man am i glad i didn&#39;t watch this trailer before seeing the movie; going in totally blind made it so much more fun!
@monicamichelle2391,2024-03-26T17:47:21Z,2024-03-26T17:48:06Z,0,Kinda reminds me of Zombie Honeymoon movie!🖤❤️
@BURGATRON,2024-03-26T03:19:44Z,2024-03-26T03:19:44Z,2,"Towards the 2nd half, I was asking myself wtf am I watching"
@celestialmajesty2053,2024-03-25T05:53:58Z,2024-03-25T05:53:58Z,0,Edward scissorhands vibes omg
@chrisiverson257,2024-03-24T23:38:43Z,2024-03-24T23:38:43Z,0,Just the next Warm Bodies but with B-actors.
@_jacksheldon,2024-03-24T20:04:30Z,2024-03-24T20:04:30Z,0,I love this trailer for Edward Scissorhands/Heathers.
@gabbieisler9634,2024-03-24T07:37:07Z,2024-03-24T07:37:07Z,1,THE MOVIE IS DISAPPOINTING
@zv3456u-,2024-03-21T17:32:57Z,2024-03-21T17:32:57Z,0,Dylan sprouse =all wise meadery alc0h0l
@HakiOfficial,2024-03-21T06:16:05Z,2024-03-21T06:16:05Z,1,"Admittedly, this is refreshing especially with all the crap movies being shoved down our throat currently"
@rajahtv1925,2024-03-20T04:38:42Z,2024-03-20T04:38:42Z,0,liza not being Lisa is wierd
@Zero.freingetei,2024-03-19T16:59:38Z,2024-03-19T16:59:38Z,0,Real 0025. 8%%
@WiIIPouIter,2024-03-19T01:31:06Z,2024-03-19T01:31:06Z,4,"This movie is reminiscent of what used to happen in movies, the cast wasn&#39;t chosen by their ESG score but by their suitability to the role. Nailed it. I hope that many more movies learn from it&#39;s success."
@fdl238,2024-03-17T15:27:27Z,2024-03-17T15:31:24Z,0,"Nice to see Claire Novak from Supernatural! The director is Robin Williams&#39; daughter, Zelda.<br>And Diablo Cody (writer/producer) says that this is the same universe as Jennifer&#39;s Body, I would love to see a crossover..."
@dianamarissaleighton5613,2024-03-16T21:41:28Z,2024-03-16T21:41:28Z,6,can&#39;t lie man i was tearing up towards the end<br>why does a 200 yo dead guy and his goth gf now feel like the pinnacle of romance i can&#39;t 😩
@id104335409,2024-03-15T21:40:15Z,2024-03-15T21:40:15Z,1,Not for guys. I manged for half an hour and just couldn&#39;t take it anymore.
@djskeedledoo,2024-03-15T07:58:17Z,2024-03-15T07:58:17Z,1,i love the soundtrack. It brings me back to the 80s with new wave music.
@NicoleNJ,2024-03-13T19:44:44Z,2024-03-13T19:44:44Z,2,Anything set in the 80s great!
@Brianna-hn6fm,2024-03-13T17:57:28Z,2024-03-13T17:57:28Z,1,Brianna Marie Shead is Veronica and smurfette
@Brianna-hn6fm,2024-03-13T17:55:47Z,2024-03-13T17:55:47Z,1,Brianna Marie Shead Frankenstein
@lizasoberanoo1235,2024-03-13T08:27:46Z,2024-03-13T08:27:46Z,2,I love LIZA SOBERANO! HAPPY TO SEE HER IN THIS FILM!
@jrr6947,2024-03-12T22:07:48Z,2024-03-12T22:07:48Z,5,This movie won me over like I could never have imagined!
@TripleFL4,2024-03-12T03:58:07Z,2024-03-12T03:58:07Z,0,This is one of the worst trailers to a movie I&#39;ve seen.
@fepot6911,2024-03-11T13:38:14Z,2024-03-11T13:38:14Z,0,"Magaling si liza,mahaba ang role nya dto..done watching"
