author,published_at,updated_at,like_count,text
@Element068,2024-03-16T02:19:23Z,2024-03-16T02:19:23Z,1,This battle royale bean game looks a lot different than what i remember
@jedijones,2024-03-16T00:31:13Z,2024-03-16T00:31:13Z,0,"Movie is hopelessly confused as to whether it wants to appeal to women as a romantic comedy or to men as an action adventure. And it&#39;s dumb for re-using the title of a forgotten TV series that wasn&#39;t even that popular when it was on, and whose story has almost nothing to do with this movie&#39;s story."
@for_nothing_important,2024-03-15T20:15:19Z,2024-03-15T20:15:19Z,0,if drive was a hollywood film
@bananess_,2024-03-15T17:59:32Z,2024-03-15T17:59:32Z,0,Ryan Gosling probably had a stunt double for a movie where he plays a stunt double
@Helyeah834,2024-03-15T17:45:39Z,2024-03-15T17:45:39Z,0,its pretty ironic but he probably has a stunt double
@dinglemelon,2024-03-15T17:41:46Z,2024-03-15T17:41:46Z,0,BUT WHO DOES RYANS STUNTS
@MapleLeaf2020,2024-03-15T15:40:48Z,2024-03-15T15:45:06Z,1,"I am glad Colt Seavers is not black or latino!!  Relax, I&#39;m asian not white.  I don&#39;t give a f#&amp;K if you&#39;re woke and don&#39;t like my comment"
@cbreezy1322,2024-03-15T14:36:01Z,2024-03-15T14:36:01Z,2,Lord have mercy! Lee Majors is one of my favorite actors BAR NONE! Six Million Dollar Man changed the game for me. I watched The Fall Guy strictly for him being in it. I never heard Ryan&#39;s name in the movie and I had to Google and see if it was Colt Seavers and it is! AND they sprinkling in my favorite Bon Jovi song! I&#39;ma 50 yr old Black guy born in Detroit raised in Alabama. Bon Jovi da 💩 Don&#39;t judge me 😁👍🏼
@sakilamurmu3761,2024-03-15T14:14:36Z,2024-03-15T14:14:36Z,0,Rohit Shetty will deserve this guy
@sakilamurmu3761,2024-03-15T14:13:15Z,2024-03-15T14:13:15Z,0,The movie has copied Bollywood Style 🤩🤩🤩🤩
@zackk7175,2024-03-15T13:49:24Z,2024-03-15T13:49:24Z,0,Ken is beack
@케이드나이트,2024-03-15T07:41:17Z,2024-03-15T07:41:17Z,0,이 조합 미쳤다
@s.t.3181,2024-03-15T05:46:05Z,2024-03-15T05:46:05Z,1,"ANY episode of &quot;The Fall Guy&quot; TV show looks better than this. <a href=""http://www.youtube.com/results?search_query=%23leemajors"">#Leemajors</a>"
@mai.vancon,2024-03-15T05:42:54Z,2024-03-15T05:42:54Z,0,The 2 Ryans and Emily Blunt. Comedy gold! 😎👌
@bmused55,2024-03-15T00:15:37Z,2024-03-15T00:18:32Z,0,"They better have the &quot;Unknown Stuntman&quot; song in it some place. And a Lee Majors cameo.   Hell, a bar scene with Lee Majors singing the song on a stage in the background would work!<br>They have his truck, same paint scheme, what looks to be the same model too.  So hopefully they have the song and original Colt Seavers in it too."
@adeline5408,2024-03-14T20:17:14Z,2024-03-14T20:17:14Z,1,When Ken enters oppenheimer&#39;s world 💣🎀
@gozerthegozarian9500,2024-03-14T17:00:10Z,2024-03-14T17:00:10Z,119,"I used to watch The Fall Guy tv series with Lee Majors as a kid with religious devotion! This looks very, VERY good! I am excited!"
@The_Wanderingplanet,2024-03-14T15:55:08Z,2024-03-14T15:55:08Z,0,He is literally me
@erhigbagideon8764,2024-03-14T15:27:37Z,2024-03-14T15:27:37Z,0,Hopefully this version of you give love a bad name is released.
@joaquinvaleri7022,2024-03-14T14:54:36Z,2024-03-14T14:54:36Z,0,I&#39;m not even surprise to this movie
@halfstatee,2024-03-14T11:08:54Z,2024-03-14T11:08:54Z,19,Ryan Gosling rocks. A full talented man
@nebacanzer,2024-03-14T10:29:54Z,2024-03-14T10:29:54Z,0,"great looking movie, shit trailer"
@facuperez2707,2024-03-14T08:33:58Z,2024-03-14T08:33:58Z,0,This looks amazing!! One of the best films uncoming in 2024!
@europa_bambaataa,2024-03-14T07:44:38Z,2024-03-14T07:44:38Z,0,Why do they butcher all these great songs from 30 to 40 years ago like this in trailers these days?
@adrianteav,2024-03-14T07:40:57Z,2024-03-14T07:40:57Z,0,&quot;how far would you go for the one that you love.&quot; This trailer is a FULL SONG !
@iamalexlin,2024-03-14T07:25:09Z,2024-03-14T07:25:09Z,0,It gonna be in theatre in May 3
@Jibolta,2024-03-14T06:52:00Z,2024-03-14T06:52:00Z,0,this is like that movie bolt lmaoaoao
@elyems,2024-03-14T05:18:34Z,2024-03-14T05:18:34Z,0,Tom Cruise  não curtiu.  /  Tom Cruise didn&#39;t like it.
@LASTDAYSWATCHMAN777,2024-03-14T03:28:29Z,2024-03-14T03:28:29Z,0,Looks good but without the idiotic music.
@Jervm103,2024-03-14T02:05:14Z,2024-03-14T02:05:14Z,0,🔥🔥
@martinezbondy7308,2024-03-14T00:05:33Z,2024-03-14T00:05:33Z,0,"I love the sound track. YOU GIVE LOVE A BAD NAME, Bonjovi"
@LOSCARNACE,2024-03-13T22:57:44Z,2024-03-13T22:57:44Z,0,Cool Universal Movies TV ❤
@31lauramitchell,2024-03-13T22:14:12Z,2024-03-13T22:14:12Z,0,I literally cannot wait for this movie!!!
