author,published_at,updated_at,like_count,text
@makenziehollister8533,2024-03-21T17:37:19Z,2024-03-21T17:37:19Z,0,"Contrary to pouplar opinion. I initially thought this movie would be blasphemous and granted some parts are questionable but i actually thought it represented Jesus Himself very well and His nature accurately. I think that at the root of the movie though Clarence is a controversial character, he becames aware of his own blasphemous behavior and repents, becoming a believer.  It is easy to judge him and see him as rebellious, disrespectful etc. etc. but it isn&#39;t a complete representation of his character. He is also a lost soul, deeply searching for meaning and to be somebody. We cannot judge those outside the church with the same measurement we use to judge those in the church (1 Cor. 5:12) which is why when Jesus dies He forgives His enemies for not knowing what they were doing (Luke 23:24). Because they were ignorant and so was Clarence, as stated by many if the character, but the movie is about growth. In real life people do ignorant things; practice witchcraft, commit crimes, etc. But what this movie demonstrates to me and possibly to others is that God&#39;s love is so deep that He doesn&#39;t believe anyone is beyond redemotion and in the movie, He saw Clarence for who He was and not for what He did and I believe that is who Clarence would become after the ending. Just a point to consider."
@sharpshiell,2024-03-20T01:10:58Z,2024-03-20T01:10:58Z,0,this is evil
@muirick9924,2024-03-14T16:47:28Z,2024-03-14T16:47:28Z,0,Romans jew-ISH ✡️ ppl took our land. Hebrew Israelites 12 tribes of Israel is physical bloodline. U cant convert into a Isreal. Real jews are in America &amp; are dark skinned. Hebrew Israelites. Proof in bible is Deuteronomy 28- onward.
@paulh4689,2024-03-09T06:23:36Z,2024-03-09T06:23:36Z,0,This movie is a 5 percent nation trojan horse...
@SnowHawk2,2024-03-08T11:13:26Z,2024-03-08T11:13:26Z,0,"Folks where can I find the song Die 4 you from this trailer? Originally it was a Prince one, but this version? rocks! can&#39;t find it anywhere! help ;)"
@kingmelodee6841,2024-03-07T08:13:35Z,2024-03-07T08:13:35Z,1,Has a black person from the Pacific I&#39;m disappointed in you black Americans.
@razorshark9320,2024-03-06T22:52:57Z,2024-03-06T22:52:57Z,1,This looks like a great comedy.
@TheMrsB,2024-03-04T22:12:15Z,2024-03-04T22:12:15Z,0,"To all your religious people so offended by this FICTITIOUS movie, this is meant to be a satire. Google the definition of satire. No one is trying to convert anyone into not being a Christian. And if you all were such good Christians, you wouldn’t be concerning yourself with such worldly nonsense. The movie has made $4 million to date. More people commented on this video than saw the movie, big brains."
@CynthiaMugiraneza-gd6cc,2024-03-04T18:38:04Z,2024-03-04T18:38:04Z,0,Stop!!!!!! jesus he comes
@joeldoamaraljunior774,2024-03-04T14:28:40Z,2024-03-04T14:28:40Z,1,Um filme muito elaborado pelas histórias 👍🏼
@Calciu_EOC,2024-03-04T00:44:56Z,2024-03-04T00:44:56Z,0,I&#39;ll stick with Cabrini
@freespiritpearl89,2024-03-03T13:47:21Z,2024-03-03T13:47:21Z,0,Both my sister and father trying to get me to not to believe in Jesus. They have the antichrist spirit. My father loves this movie and  trying to get me to watch it. I struggle with my faith but I have to be strong in Jesus name.
@IeshaMoorekegvrug,2024-03-03T06:45:20Z,2024-03-03T06:45:20Z,0,Do people just not care about how disrespectful this movie is to Christians mocking Jesus is not at all something to laugh at it is so disrespectful and ignorant.
@busymike,2024-02-28T21:37:03Z,2024-02-28T21:37:03Z,0,That’s the blue power ranger
@veganbutterfly3652,2024-02-28T13:56:22Z,2024-02-28T13:56:22Z,0,"The bible is 100% fictional, all of the<br>characters in it, including Jesus are fictional."
@muchi1465,2024-02-27T10:23:03Z,2024-02-27T10:23:03Z,0,COMMENTERS HERE ALL ATE ROTTEN FOODS BEFORE WATCHING THIS TRAILER?
@Prophetess_Tish,2024-02-27T05:02:46Z,2024-02-27T05:02:46Z,0,Straight heresy
@Rah_the_Eagle,2024-02-26T14:40:09Z,2024-02-26T14:40:09Z,0,This the true mystery film about dajjal
@IysisAwoke,2024-02-25T03:58:00Z,2024-02-25T03:58:00Z,1,I enjoyed this movie. It was thought provoking and creates a great conversation with others. It’s different vantage point of the Jesus story.
@Celestialbellz,2024-02-21T20:23:53Z,2024-02-21T20:24:44Z,0,"Not once did they mock yahusha in this movie ! If you did not watch the movie or want to make your own narrative shut up 🤫 remember  he who is without sin , cast the first stone ."
@dmarinon,2024-02-20T08:47:35Z,2024-02-20T08:47:35Z,2,didn&#39;t know Jesus lived in Africa
@AssataSaleem,2024-02-20T03:21:35Z,2024-02-20T03:21:35Z,0,Yall are so damn comical 😂😂😂😂😂
@mkaiaowens1370,2024-02-18T08:20:19Z,2024-02-18T08:20:19Z,2,"For those who have not seen the film in the end he comes to accept Jesus in the end he realizes his wrong doings and comes to God. For those who are upset with the movie yes he does things he should not, as we all do once you accept the lord and live righteously you shall enter his kingdom. Let he who is without sin cast the first stone. Have a blessed night."
@Brittanygreen01,2024-02-18T02:57:47Z,2024-02-18T02:57:47Z,1,MUST SEE
@iainford7592,2024-02-18T00:44:09Z,2024-02-18T00:44:09Z,0,"Looks like a funny movie, I&#39;ll definitely be seeing it."
@iainford7592,2024-02-18T00:43:32Z,2024-02-18T00:43:32Z,0,"Comments show how silly religion is, to take something man made up like religion and put it above all else is surely very silly."
@melissamiranda6509,2024-02-18T00:33:33Z,2024-02-18T00:33:33Z,1,"It&#39;s okay, vengeance belongs to the one true Living God! They will pay for this."
@89Hargy,2024-02-17T20:38:30Z,2024-02-17T20:38:30Z,0,Jesus is now African...... of course he was 😂
@courtneyparrish8576,2024-02-16T20:51:36Z,2024-02-16T20:51:36Z,0,"I’m black so I’m pissed at this movie. Bunch of playing around with this movie. If you wanted to be real, be real with this movie"
